site,associated_accession,emma_latitude,emma_longitude,rep,height_av_culm_cm,height_tallest_culm_cm,tillers,flowering_culms,dry_weight_g,dry_weight_mg,dry_weight_kg,area_cm,area_m,SLA_m2_kg,LMA_g_m2,tussock_width_av_cm,plant_area_cm_sq,leaf_width_mm,leaf_length_cm,mean_A,mean_Ca,mean_Ci,mean_gsw,mean_RHcham,mean_Tleaf,mean_VPDleaf,mean_Rd,WUEi,Rmass,MAT,MeanDiurnalRange,Isothermality,TempSeasonality,MaxTempWarmestMonth,MinTempColdestMonth,TempAnnualRange,MeanTempWettestQuarter,MeanTempDriestQuarter,MeanTempWarmestQuarter,MeantempColdestQuarter,MAP,PrecipWettestMonth,PrecipDriestMonth,PrecipSeasonality,PrecipWettestQuarter,PrecipDriestQuarter,PrecipWarmestQuarter,PrecipColdestQuarter
Bruce_Weir_Rd_QLD,Fumar_Rd_QLD,-17.126588,145.129246,4,90,106,20,9,0.328,328,0.000328,61.535,0.0061535,18.76067073,53.30299829,35,962.1127502,4.936,29.86,14.25923148,400.1598624,162.9577619,0.17681856,34.69262409,30.11829292,2.660531387,2.059676403,80.64329615,109.7869278,22.7,11,5.9,257.7,31.2,12.6,18.6,25,19.8,25.4,18.9,131,29.2,1.4,9.5,82.7,4.5,53.9,5.5
Bruce_Weir_Rd_QLD,Fumar_Rd_QLD,-17.126588,145.129246,1,90,140,23,2,0.472,472,0.000472,89.415,0.0089415,18.94385593,52.78756361,30,706.8583471,5.108,42.2,20.99108051,396.2883607,245.9367228,0.248307847,57.78891313,30.10801475,1.820285539,1.971278492,84.53651688,104.0589888,22.7,11,5.9,257.7,31.2,12.6,18.6,25,19.8,25.4,18.9,131,29.2,1.4,9.5,82.7,4.5,53.9,5.5
Bruce_Weir_Rd_QLD,Fumar_Rd_QLD,-17.126588,145.129246,2,100,120,34,4,0.464,464,0.000464,75.8,0.00758,16.3362069,61.21372032,75,4417.864669,4.124,43.4,18.58970676,397.494623,240.3872164,0.209875951,52.59701972,29.85011721,2.043291163,2.07668377,88.57473496,127.1215395,22.7,11,5.9,257.7,31.2,12.6,18.6,25,19.8,25.4,18.9,131,29.2,1.4,9.5,82.7,4.5,53.9,5.5
Bruce_Weir_Rd_QLD,Fumar_Rd_QLD,-17.126588,145.129246,3,113,113,29,1,0.287,287,0.000287,65.848,0.0065848,22.94355401,43.58522658,30,706.8583471,4.858,32.96,17.70703955,398.5036721,238.3357746,0.198000458,58.24380066,30.08540656,1.834328597,2.511724239,89.42928568,109.4740701,22.7,11,5.9,257.7,31.2,12.6,18.6,25,19.8,25.4,18.9,131,29.2,1.4,9.5,82.7,4.5,53.9,5.5
Bruce_Weir_Rd_QLD,Fumar_Rd_QLD,-17.126588,145.129246,5,NA,NA,NA,NA,0.39,390,0.00039,70.181,0.0070181,17.99512821,55.57059603,NA,NA,3.966,43.42,14.79203184,400.5582333,219.6276268,0.141023167,61.24693533,30.081865,1.785169837,1.461500121,104.8907933,81.21643284,22.7,11,5.9,257.7,31.2,12.6,18.6,25,19.8,25.4,18.9,131,29.2,1.4,9.5,82.7,4.5,53.9,5.5
Bumberry_NSW,Forbes_NSW,-33.1313032,148.4271588,2,40,66,26,3,0.2145,2145,0.0002145,42.689,0.0042689,19.9016317,50.24713626,35.5,989.7980354,3.946,26.74,14.89009132,398.1142097,181.7035473,0.122552559,62.64895939,30.03153387,1.74202852,2.35848986,121.4996361,118.5073614,15.3,13.3,4.6,553.5,30.8,2.1,28.7,22.4,11.8,22.4,8.2,71.6,7.6,4.7,1.3,19.6,16.3,19.6,17.6
Bumberry_NSW,Forbes_NSW,-33.1313032,148.4271588,5,55,70,39,4,0.1669,1669,0.0001669,35.233,0.0035233,21.11024566,47.37036301,40,1256.637061,3.116,22.76,7.215984556,403.1472581,250.004441,0.083251656,55.80992506,32.42927097,2.268760928,1.725743505,86.67676877,81.74909631,15.3,13.3,4.6,553.5,30.8,2.1,28.7,22.4,11.8,22.4,8.2,71.6,7.6,4.7,1.3,19.6,16.3,19.6,17.6
Bumberry_NSW,Forbes_NSW,-33.1313032,148.4271588,3,60,98,44,3,0.1841,1841,0.0001841,40.785,0.0040785,22.1537208,45.13914429,43.5,1486.169675,3.212,25.92,14.10281583,398.6750473,231.6092989,0.146171154,62.10613168,30.01364441,1.732905179,1.544993108,96.48152497,69.73966681,15.3,13.3,4.6,553.5,30.8,2.1,28.7,22.4,11.8,22.4,8.2,71.6,7.6,4.7,1.3,19.6,16.3,19.6,17.6
Bumberry_NSW,Forbes_NSW,-33.1313032,148.4271588,1,65,72,42,11,0.2524,2524,0.0002524,52.825,0.0052825,20.92908082,47.780407,41,1320.254313,4.66,26.94,11.4242943,400.9259,197.2324543,0.096850844,62.6155827,30.02177833,1.759050285,1.815006076,117.9576126,86.72172901,15.3,13.3,4.6,553.5,30.8,2.1,28.7,22.4,11.8,22.4,8.2,71.6,7.6,4.7,1.3,19.6,16.3,19.6,17.6
Bumberry_NSW,Forbes_NSW,-33.1313032,148.4271588,4,73,89,42,6,0.3456,3456,0.0003456,63.632,0.0063632,18.41203704,54.3122957,63,3117.245311,3.756,39,16.29957919,395.1012258,171.9168138,0.124762346,58.01996742,31.97720323,2.103180627,2.165857912,130.6450199,117.6327154,15.3,13.3,4.6,553.5,30.8,2.1,28.7,22.4,11.8,22.4,8.2,71.6,7.6,4.7,1.3,19.6,16.3,19.6,17.6
